Moria,10,2,6,Aventura
Mordor,25,3,4,Aventura
Bosque Negro,3,4,12,Aventura
Visitando Aguas Turbias,30,2,10,Aventura
La Comarca,3,6.5,150,Degustacion
Lothlorien,35,1,30,Degustacion
Alto Guiso,20,2,25,Degustacion
Los Elixires Del Senior Olaf,15,1.5,30,Degustacion
Minas Tirith,5,2.5,25,Paisaje
Abismo de Helm,5,2,15,Paisaje
Erebor,12,3,32,Paisaje
El Vacio,10,1,15,Paisaje
Danza De Los Dragones,500,3.0,2,Entretenimiento
Festival De Fuegos Artificiales,20,0.5,200,Entretenimiento
Festival De Aves,10,1,30,Entretenimiento
Magia Aldeana,200,8,100,Entretenimiento
Caballos Super Veloces,100,5,8,Carrera
Trayectoria Acuatica,50,4,12,Carrera
Cubetas De Agua,40,4,5,Carrera
El Desencadenamiento,150,5,10,Carrera
Ventisca Invernal,30,0.2,50,Extremo
Espadachines,100,2,2,Extremo
Duelo A Muerte Con Cuchillos,1000,3,2,Extremo
Las Flechas De Orlando Bloom,200,2.5,20,Extremo
