Zonas De La Oscuridad,Porcentual,0.20,Bosque Negro,Mordor
Astucia,Absoluta,38,Moria,Visitando Aguas Turbias
NiomNiom,Absoluta,36,Lothlorien,La Comarca
Salis En Carreta,AxB,La Comarca,Alto Guiso,Los Elixires Del Senior Olaf
Contemplad La Profundidad,AxB,Erebor,Minas Tirith,Abismo De Helm
Wachen El Paisaje Homies,Absoluta,20,Erebor,El Vacio
Espectaculo De Fuegos Fatuos,Porcentual,0.40,Festival De Fuegos Artificiales,Magia Aldeana
Vuelo Igneo,Absoluta,600,Danza De Los Dragones,Magia Aldeana
Prohibido Ahogarse,porcentual,0.30,Trayectoria Acuatica,Cubetas De Agua
Velozmente Fuerte,porcentual,0.60,Caballos Super Veloces,El Desencadenamiento
Filo Sangriento,Absoluta,999,Espadachines,Duelo A Muerte Con Cuchillos
Medio Doble De Riesgo,AxB,Duelo A Muerte Con Cuchillos,Espadachines,Las Flechas De Orlando Bloom
